"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"BG41",2012,51.6172591854956,20254.7,106.3,19500,2865755,8.2,0.0361033015918742,35,0,0,0,65,0,0,0,55.227589344683,6102.15459767511
"BG41",2013,51.6172595936409,20254.7,106.2,19200,3113154,9.8,0.0361033015918742,35,0,0,0,65,0,0,0,55.2275897528283,6087.88412473559
"BG42",2009,68.0513681193095,22365.1,66.9,7400,1453897,7.3,0.0206858652716019,31,0,0,0,69,0,0,0,70.1199546464697,8083.61709912539
"BG42",2010,68.0593244698155,22365.1,67.9,7700,1430627,11.5,0.0206858652716019,31,0,0,0,69,0,0,0,70.1279109969757,7965.89729395989
"BG42",2011,70.889052423039,22323.3,67.5,8100,1576515,12.9,0.0206858652716019,31,0,0,0,69,0,0,0,72.9576389501992,8068.91094037063
"BG42",2012,70.8890524163328,22323.3,67.1,8400,1828180,13.8,0.0206858652716019,31,0,0,0,69,0,0,0,72.957638943493,8061.1664785151
"BG42",2013,70.8890523309129,22323.3,66.7,8400,1943153,13.5,0.0206858652716019,31,0,0,0,69,0,0,0,72.9576388580731,8042.31459982389
"CY00",2009,13.4807748487308,9250,86.8,25600,13003673,5.4,0.989381832325381,0,0,0,0,0,100,0,0,112.418958081269,12959.960062629
"CY00",2010,22.297585832472,9251,90,25900,13800788,6.3,0.989381832325381,0,0,0,0,0,100,0,0,121.23576906501,13771.2883643113
"CY00",2011,22.29870948146,9251,92.3,24900,14284731,7.9,0.989381832325381,0,0,0,0,0,100,0,0,121.236892713998,13408.4614589059
"CY00",2012,22.2987095344774,9251,93.8,24800,14576573,11.8,0.989381832325381,0,0,0,0,0,100,0,0,121.236892767016,13395.5921557404
"CY00",2013,22.2987095511344,9251,93.5,23600,14048529,15.9,0.989381832325381,0,0,0,0,0,100,0,0,121.236892783673,13364.2651836384
"CZ01",2009,1.85072498898031,496,2516.5,43600,11218200,3.1,0.024960334375296,0,0,0,0,100,0,0,0,4.34675842650991,501.106010684962
"CZ01",2010,1.89280964765126,496.1,2536,44400,12121133,3.7,0.024960334375296,0,0,0,0,100,0,0,0,4.38884308518086,498.532934445523
"CZ01",2011,1.84726945548047,496.1,2550.2,45600,12948091,3.6,0.024960334375296,0,0,0,0,100,0,0,0,4.34330289301007,480.357159785208
"CZ01",2012,1.84792508078444,496.1,2563.5,45500,14443143,3.1,0.024960334375296,0,0,0,0,100,0,0,0,4.34395851831404,479.968558453692
"CZ01",2013,1.84792507819103,496.2,2564.9,46000,14654282,3.1,0.024960334375296,0,0,0,0,100,0,0,0,4.34395851572063,478.846102187743
"CZ02",2009,6.61972620666726,11015,114.6,18300,1713592,4.4,0.0102119319368828,0,0,0,0,100,0,0,0,7.64091940035554,880.865753966409
